1,http://www.huffingtonpost.com/kristin-kirkpatrick-ms-rd-ld/hangover-cure_b_1140639.html?view=screen,"sounds pretty bad, right? you may be thinking, can food actually help? although no strong scientific evidence exists classifying these foods as cures, given the physiologic changes that occur with a night of drinking, they surely can't hurt!","although no strong scientific evidence exists classifying these foods as cures, given the physiologic changes that occur with a night of drinking, they surely can't hurt!",5 foods to ease a hangover,5,0.8333333333333334
0,http://www.ft.com/cms/s/0/4a9a43f2-3545-11e1-a4ab-00144feabdc0.html#axzz1iNbJUUht,"bmw last year completed one of the biggest real-life road tests of evs on an electric mini with a 100-mile driving range. the carmaker, which in 2013 will launch a sub-brand devoted to plug-in cars, found that most drivers of the car in germany had to recharge only three times a week, and were able to do it at home.",bmw last year completed one of the biggest real-life road tests of evs on an electric mini with a 100-mile driving range.,evs driven to their limits,5,0.7142857142857143
1,http://www.ft.com/cms/s/0/4a9a43f2-3545-11e1-a4ab-00144feabdc0.html#axzz1iNbJUUht,"bmw last year completed one of the biggest real-life road tests of evs on an electric mini with a 100-mile driving range. the carmaker, which in 2013 will launch a sub-brand devoted to plug-in cars, found that most drivers of the car in germany had to recharge only three times a week, and were able to do it at home.","the carmaker, which in 2013 will launch a sub-brand devoted to plug-in cars, found that most drivers of the car in germany had to recharge only three times a week, and were able to do it at home.",evs driven to their limits,5,0.7142857142857143
0,http://www.thehindu.com/news/national/article2752128.ece?homepage=true,"""the task of legislation is a very serious business and must eventually be performed by all of us who have been constitutionally assigned this duty. others can persuade and have their voices heard. but the decision must rest with us. at the same time we must keep in mind the fact that corruption and its consequences eat into the body politics, we have seen public anger,"" he said.",but the decision must rest with us.,manmohan says no to demand for bringing cbi under lokpal,8,0.6153846153846154
0,http://www.ft.com/cms/s/0/8e5a4f40-176a-11e1-b20e-00144feabdc0.html#axzz1iF0kRywq,"but eric wiebes, amsterdam city alderman for transit, said electric cars pay for themselves by helping meet european air-quality standards. if you target commercial heavy drivers, switching to electric vehicles is rated one of the single most effective ways of abating air pollution, mr wiebes says.","but eric wiebes, amsterdam city alderman for transit, said electric cars pay for themselves by helping meet european air-quality standards.",daimler in all-electric car-share launch - ft.com,10,0.625
0,http://www.bbc.co.uk/schools/gcsebitesize/science/add_aqa_pre_2011/ions/acidsbasesrev1.shtml,"substances that can react with acids and neutralise them to make a salt and water are called bases. they are usually metal oxides or metal hydroxides. for example, copper oxide and sodium hydroxide are bases.","for example, copper oxide and sodium hydroxide are bases.",bbc - gcse bitesize: acids and bases,4,0.5714285714285714
0,http://www.thehindu.com/news/national/article2752128.ece?homepage=true,"intervening in the debate on the lokpal and lokayukktas bill 2011 in the lok sabha, he said the cbi could not be brought under the lokpal as that would create an executive structure outside the parliament which was ""accountable to none"". it would be an ""anathema to sound constitutional principles"". the present lokpal bill contained a judicious blend of functional autonomy and accountability of the cbi.","it would be an ""anathema to sound constitutional principles"".",manmohan says no to demand for bringing cbi under lokpal,2,0.15384615384615385
1,http://www.foxnews.com/sports/2012/01/02/broncos-giants-win-divisions-while-patriots-top-afc/,"the bengals got into the postseason despite losing 24-16 to baltimore, winning a tiebreaker at 9-7 over tennessee. cincinnati visits houston to open the playoffs on saturday.","the bengals got into the postseason despite losing 24-16 to baltimore, winning a tiebreaker at 9-7 over tennessee.","broncos, giants win divisions, while patriots top afc",3,0.1111111111111111
1,"http://www.time.com/time/specials/packages/article/0,28804,2101745_2102132_2102373-1,00.html","""in tunisia,"" added her 16-year-old daughter basma, ""dignity is more important than bread.""","""in tunisia,"" added her 16-year-old daughter basma, ""dignity is more important than bread.""",person of the year 2011: the protester,8,0.5714285714285714
1,http://edition.cnn.com/2011/12/28/world/meast/iran-hormuz/index.html?hpt=hp_c1,"and in recent decades it has become even more critical: one-third of the oil carried by sea passes through hormuz -- that's some 15 million barrels every day, according to the u.s. energy information administration.","and in recent decades it has become even more critical: one-third of the oil carried by sea passes through hormuz -- that's some 15 million barrels every day, according to the u.s. energy information administration.",analysis: saber-rattling in strait of hormuz - .com,2,0.13333333333333333
0,http://www.ft.com/cms/s/0/8e5a4f40-176a-11e1-b20e-00144feabdc0.html#axzz1iF0kRywq,"car2gos programmes average five to 10 drivers per car each day, mr dubbelman says. that is not entirely welcome news for car manufacturers; experts estimate that each shared car replaces four to 10 private cars.","car2gos programmes average five to 10 drivers per car each day, mr dubbelman says.",daimler in all-electric car-share launch - ft.com,11,0.6875
